Id,EssaySet,EssayText,EssayScore
15204,6,The way the cells move around.,0
14179,6,1. Mitochondrion2. Cytoplasm3. Nucleus,0
15477,6,Diffusion is used by cells to control the movement of substances across the cell membrane.  Substances transfer from high concentration to low concentration.  Active transport is also used.  ATP is important in taking the substances across the membrane.  ATP allows the substances to go against the concentration gradient.  Protein carriers also control movement of substances.  Protein carriers go through a distinct process to engulf the substance and then release it back in or out of the cell.  All of these are examples of different ways cells control the movement of substances across the membrane.,2
14397,6,passive transport is when the substance can move freely through the cell membrane.,0
15229,6,cells use severa;l diffrent processes some examples are how the cells use the nucleus to manuver and plan the movements that allow the substances to travel across the cell wall. some of the cells use their ribosomes to manuverthem. then they could also use their endoplasmic reticulum or their ER to make this process possible. this is only a few posible ways that cells could control the movement of substances across the cell membrane.,0
14791,6,It moves by the force of the enxymes across the cell membrane.,0
14651,6,"Molecules stop certain substances from getting accross, but sometimes the substances can sneak in when another substance in going in.",0
15268,6,"There are different kinds of processes that cells use, in this case in humans, such as:1. The White Blood Cells control how much blood is lost and  they are in charge of healing the spot were it is cut.2. The Red Blood Cells controll the blood coming from the heart to throughout the body.3. The Brain Cells can control brain functions and how much blood is taken from the heart and aloud into the brain.",0
15060,6,"There are many ways a cells materials can enter of leave a cell. Endocytosis is how a cell takes in needed materials in which are to big to fit through the lipid bilayer. Exocytosis is a process in which cells get rid of any waste materials to big to fit through the lipid bilayer. Another way to move substances across the cell membrane is by the sodium-potassium pump. The sodium-potassium pump alows potassium to enter a cell, and sodium to leave a cell. Sodium-potassium pumps only open one way at a time. For example, when the pump is recieving the potassium from outside the cell, the sodium waiting on the indide of the cell can't move through. Endocytosis, Exocytosis, and sodium-potassium pump are three ways substances move across the cell membrane.",1
15701,6,the lipeds let the suff in that is needed for thecell,0
14746,6,The cell moves its way to the cell membrane by fighting off the fungus.  Then it goes through the stages. Then gets to the cell membrane.,0
14636,6,"substance,structure, liquid",0
14543,6,cells change prokaryotesprotects nucleuscirculates other cells,0
15500,6,transportation is where the cell transports proteins and sugars. transcription is where the cell rads what kind of protein or sugar its dealing with. Transformation is when they transform into bigger cells.,0
15227,6,Flaglum-moves cellCillia- help cell stick to surfaces,0
15710,6,The cell membrane desides what can go into the cell and what can't.,0
14298,6,1.Transcription2.Translation3. Reflection,0
14132,6,deffisonosmosis,0
15392,6,"the cell membrane is selectively permiable, and lets some supstances in but not others.  in plant cells the cell wall keeps things out of the cell.  Osmosis allows water to go into and out of the cell.",2
15026,6,One of the processes used by cells would be the The NUCLEOUS to tell the cell what to do. Then there is the FLAGELUM Which is the tail the moves to help the crell move around. The last one would be the CELL MEMBRAIN That holdeverytjing in and not floting out.,0
14456,6,Facilitated DiffusionActive TransportPassive Transport,0
15199,6,"They use a system and it gets rid of the stuff that the cell doesn't need, it gets food and stuff like that for the cell to survive, and it helps the cell reproduce.",0
14162,6,Flagellum- a tail like structure used to 'swim' around.Cilia- hair-like structures that whip around providing movement.Another one is where the organism extends out sections of it's cell membrane and fills it with cytoplasm while the opposite end goes away and it moves by a crawling type movement.,0
15545,6,"the flagellum, psudapod and the phylopod",0
15618,6,Cells use there selective membranes to decide what goes in and out of a cell.Cells use active transport which is moving things acrosss the concentration granite.Cells use passive transport which moves things with the concentration granite.,3
14171,6,Osmosis= the movement of water through a cellDiffusion= the movement of molecules through the cellPassive Transport= the movement of particles through a body without using energy,2
14578,6,one thing they do is keep certain things that the cell wants in or out. This is done by a gate like strycture on the surface od the membrane. this mainly allows almost all things to get in and certain things to get out.,0
14121,6,Flagellas is a tail that allows the cell to 'swim' around. Slime allows cells to move around. And little tenticles on outside of cell to help swim around.,0
15400,6,Seperate- They grow apartReproduce- The Multiply     Conjoin- The from together,0
14963,6,The Cell Membrane will act like a body guard and say weather or not an object or organism can make its way into the cell.  The cell may use asmosis to tranfer material across the cell.  The nucleus is the brains of the cell and it will tell if something is supposed to be there or not.,0
14859,6,ribosomes transport substancestRNA read themrRNA tells them where to go,0
14374,6,"reproduction,respiration,proteins",0
14959,6,The cell membrain takes nutrients from the outside of the cells and takes them to the main cell membrain.,0
